oid,cid,idn,tna,rnk,tid,oei,oli,eag,lag,rid,lng,lat,cnm,cxi,ctno,aka,eid,idr,iid,tdf,flg
occ:1555112,col:175795,Abelisauridae indet.,Abelisauridae,9,txn:53942,Campanian,,83.6,72.2,ref:57573,-66.550003,-30.549999,4 km south of Tama village,113,,"SGP, Los Llanos",,,,,
occ:1555113,col:175795,Maniraptora indet.,Maniraptora,25,txn:55486,Campanian,,83.6,72.2,ref:57573,-66.550003,-30.549999,4 km south of Tama village,113,,"SGP, Los Llanos",,,,,
occ:1555114,col:175795,Averostra indet.,Averostra,25,txn:92043,Campanian,,83.6,72.2,ref:57573,-66.550003,-30.549999,4 km south of Tama village,113,,"SGP, Los Llanos",,,,,
occ:1555118,col:156241,Stegosauria indet.,Stegosauria,25,txn:38798,Late Berriasian,Valanginian,139.1,132.6,ref:76293,-69.674164,-39.817501,Bajada Colorada locality (main),40,,"Route 237, Picún Leufu",,,,,
occ:1555120,col:90139,Megaraptoridae indet.,Megaraptoridae,9,txn:322713,Early Campanian,Middle Campanian,83.6,72.2,ref:79677,-69.330498,-37.134998,Cañadon Amarillo (PROXY),113,,Aerosteon type,,,,,
occ:1555124,col:36380,,Abditosaurus kuehnei,3,txn:450822,Early Maastrichtian,,72.2,66.0,ref:79613,0.973056,42.159443,Orcau-1 (Isona),112,,"Point 5, Orcau ravine; Barranco de Orcau",rei:39432,,,,
occ:1555125,col:219385,Titanosauria indet.,Titanosauria,25,txn:55585,Coniacian,Santonian,89.8,83.6,ref:76300,-68.232002,-38.950001,Plottier,39,,,,,,,
occ:1555126,col:176562,Abelisauridae indet.,Abelisauridae,9,txn:53942,Santonian,,85.7,83.6,ref:76303,-69.315559,-37.593056,La Invernada (Bajo de la Carpa),114,,,,,,,
occ:1555127,col:176562,Megaraptora indet.,Megaraptora,25,txn:160851,Santonian,,85.7,83.6,ref:76303,-69.315559,-37.593056,La Invernada (Bajo de la Carpa),114,,,,,,,
occ:1555139,col:219386,Hadrosauridae indet.,Hadrosauridae,9,txn:38755,Maastrichtian,Early Maastrichtian,72.2,66.0,ref:76306,-67.491791,-39.29097,Salitral Moreno (second bonebed),112,,Salitral Moreno,,,,,
occ:1555141,col:190127,Titanosauria indet.,Titanosauria,25,txn:55585,Maastrichtian,Early Maastrichtian,72.2,66.0,ref:76307,-67.666664,-39.133331,Dino 1 Site,112,,Paso Córdoba,,,,,
occ:1555142,col:219387,Aves indet.,Aves,17,txn:36616,Late Maastrichtian,Danian,72.2,61.66,ref:76309,-65.950996,-25.615,Quebrada de Sunchales Sur tracksite,751,,,,,,,
occ:1555144,col:219388,cf. Alaripeda sp.,Alaripeda,5,txn:122568,Late Maastrichtian,,72.2,66.0,ref:76309,-65.398888,-23.625278,"Quebrada de Humahuaca, Maimará (bird track layer)",112,,Maimara,,,,,IF
occ:1555145,col:219388,Avipeda sp.,Avipeda,5,txn:316538,Late Maastrichtian,,72.2,66.0,ref:76309,-65.398888,-23.625278,"Quebrada de Humahuaca, Maimará (bird track layer)",112,,Maimara,,,,,I
occ:1555146,col:219388,cf. Gruipeda sp.,Gruipeda,5,txn:122563,Late Maastrichtian,,72.2,66.0,ref:76344,-65.398888,-23.625278,"Quebrada de Humahuaca, Maimará (bird track layer)",112,,Maimara,rei:38215,,,,I
occ:1555147,col:219388,cf. Yacoraitichnus avis,Yacoraitichnus avis,3,txn:58867,Late Maastrichtian,,72.2,66.0,ref:76309,-65.398888,-23.625278,"Quebrada de Humahuaca, Maimará (bird track layer)",112,,Maimara,rei:38236,,,,
occ:1555148,col:190127,Abelisauridae indet.,Abelisauridae,9,txn:53942,Maastrichtian,Early Maastrichtian,72.2,66.0,ref:76314,-67.666664,-39.133331,Dino 1 Site,112,,Paso Córdoba,,,,,
occ:1555159,col:219390,Saltasaurini indet.,Saltasaurini,7,txn:304099,Early Campanian,Middle Campanian,83.6,72.2,ref:76312,-68.066666,-38.816666,"Sauropod site, Cinco Saltos",113,,,,,,,
occ:1555160,col:219390,Titanosauria indet.,Titanosauria,25,txn:55585,Early Campanian,Middle Campanian,83.6,72.2,ref:76312,-68.066666,-38.816666,"Sauropod site, Cinco Saltos",113,,,,,,,
occ:1555161,col:190127,Neovenatoridae indet.,Neovenatoridae,9,txn:160848,Maastrichtian,Early Maastrichtian,72.2,66.0,ref:76314,-67.666664,-39.133331,Dino 1 Site,112,,Paso Córdoba,,,,,
occ:1555162,col:190127,Dromaeosauridae indet.,Dromaeosauridae,9,txn:38561,Maastrichtian,Early Maastrichtian,72.2,66.0,ref:76314,-67.666664,-39.133331,Dino 1 Site,112,,Paso Córdoba,,,,,
occ:1555163,col:91781,Neotheropoda indet.,Neotheropoda,25,txn:56397,Late Campanian,Early Maastrichtian,83.6,66.0,ref:76316,-2.021356,39.950359,"Lo Hueco, Fuentes (G1)",39,,,,,,,
occ:1555165,col:147178,aff. Elasmaria indet.,Elasmaria,25,txn:122465,Santonian,,85.7,83.6,ref:73944,-69.316391,-37.609722,Cerro Overo [MAU],114,,Cerro Mesa de los Overos,rei:38203,,,,
occ:1555167,col:219392,Titanosauria indet.,Titanosauria,25,txn:55585,Late Campanian,Early Maastrichtian,83.6,66.0,ref:76325,-49.245277,-19.457222,700 m from Sierra de Boa Vista,39,,Prata Paleontological District,,,,,
occ:1555168,col:219393,Titanosauria indet.,Titanosauria,25,txn:55585,Coniacian,,89.8,85.7,ref:76342,-65.551109,-19.033333,Lirio Mayu tracksite (SM2),115,,"Janaj Khuchu, Potolo, Lirio Mayo, Janaj Cucho",rei:38222,,,,
occ:1555169,col:219393,Theropoda indet.,Theropoda,25,txn:38513,Coniacian,,89.8,85.7,ref:76326,-65.551109,-19.033333,Lirio Mayu tracksite (SM2),115,,"Janaj Khuchu, Potolo, Lirio Mayo, Janaj Cucho",,,,,
occ:1555175,col:156241,? Abelisauroidea indet.,Abelisauroidea,10,txn:54528,Late Berriasian,Valanginian,139.1,132.6,ref:84712,-69.674164,-39.817501,Bajada Colorada locality (main),40,,"Route 237, Picún Leufu",rei:40765,,,,
occ:1555176,col:156241,Abelisauridae indet.,Abelisauridae,9,txn:53942,Late Berriasian,Valanginian,139.1,132.6,ref:76335,-69.674164,-39.817501,Bajada Colorada locality (main),40,,"Route 237, Picún Leufu",,,,,
occ:1555178,col:176562,Furileusauria indet.,Furileusauria,25,txn:336873,Santonian,,85.7,83.6,ref:76337,-69.315559,-37.593056,La Invernada (Bajo de la Carpa),114,,,,,,,
occ:1555179,col:206599,,Alnashetri cerropoliciensis,3,txn:249148,Early Cenomanian,,100.5,93.9,ref:76338,-68.602798,-39.714802,Cerro Policía,117,,"La Buitrera Paleontological Area, LBPA, Cerro Policia",,,,,
occ:1555180,col:219395,Sauropoda indet.,Sauropoda,25,txn:38653,Santonian,Maastrichtian,85.7,66.0,ref:76342,-65.477776,-19.066668,Niñu Mayu tracksite (SM12),39,,"Ninu Mayu, Maragua, Kinsa Saruska",rei:38216,,,,
occ:1555181,col:219395,,Calorckosauripus lazari,3,txn:435590,Santonian,Maastrichtian,85.7,66.0,ref:76342,-65.477776,-19.066668,Niñu Mayu tracksite (SM12),39,,"Ninu Mayu, Maragua, Kinsa Saruska",rei:38217,,,,IF
occ:1555182,col:219395,Theropoda indet.,Theropoda,25,txn:38513,Santonian,Maastrichtian,85.7,66.0,ref:76345,-65.477776,-19.066668,Niñu Mayu tracksite (SM12),39,,"Ninu Mayu, Maragua, Kinsa Saruska",,,,,
occ:1555183,col:219395,Ankylosauria indet.,Ankylosauria,25,txn:38816,Santonian,Maastrichtian,85.7,66.0,ref:76345,-65.477776,-19.066668,Niñu Mayu tracksite (SM12),39,,"Ninu Mayu, Maragua, Kinsa Saruska",,,,,
occ:1555192,col:36234,Titanosauria <indet. E>,Titanosauria,25,txn:55585,Maastrichtian,,72.2,66.0,ref:76343,-65.233612,-19.007778,Cal Orcko tracksite,112,,"Cal Orck'o, Cal Orko",,,,,
occ:1555193,col:45096,Sauropoda indet.,Sauropoda,25,txn:38653,Late Maastrichtian,,72.2,66.0,ref:76343,-65.953453,-25.400427,"Quebrada de la Escalera, Valle del Tonco tracksite",112,,Leonardi locality 21,,,,,
occ:1555200,col:219396,Dinosauria indet.,Dinosauria,25,txn:52775,Late Maastrichtian,,72.2,66.0,ref:76344,-65.398888,-23.625278,"Quebrada de Humahuaca, Maimará (basal trampled surface)",112,,"Maimara, BTS",,,,,
occ:1555202,col:219397,Dinosauria indet.,Dinosauria,25,txn:52775,Late Maastrichtian,,72.2,66.0,ref:76344,-65.398888,-23.625278,"Quebrada de Humahuaca, Maimará (upper trampled surface)",112,,"Maimara, UTS",,,,,
occ:1555203,col:219397,Hadrosauropodus sp.,Hadrosauropodus,5,txn:81012,Late Maastrichtian,,72.2,66.0,ref:76344,-65.398888,-23.625278,"Quebrada de Humahuaca, Maimará (upper trampled surface)",112,,"Maimara, UTS",,,,,IF
occ:1555204,col:219397,Theropoda indet.,Theropoda,25,txn:38513,Late Maastrichtian,,72.2,66.0,ref:76344,-65.398888,-23.625278,"Quebrada de Humahuaca, Maimará (upper trampled surface)",112,,"Maimara, UTS",,,,,
occ:1555205,col:219397,Titanosauria indet.,Titanosauria,25,txn:55585,Late Maastrichtian,,72.2,66.0,ref:76369,-65.398888,-23.625278,"Quebrada de Humahuaca, Maimará (upper trampled surface)",112,,"Maimara, UTS",,,,,
occ:1555206,col:219397,Ankylosauria indet.,Ankylosauria,25,txn:38816,Late Maastrichtian,,72.2,66.0,ref:76344,-65.398888,-23.625278,"Quebrada de Humahuaca, Maimará (upper trampled surface)",112,,"Maimara, UTS",,,,,
occ:1555207,col:219388,Dinosauria indet.,Dinosauria,25,txn:52775,Late Maastrichtian,,72.2,66.0,ref:76344,-65.398888,-23.625278,"Quebrada de Humahuaca, Maimará (bird track layer)",112,,Maimara,,,,,
occ:1555208,col:219398,Acheralichnus leonardii n. gen. n. sp.,Acheralichnus leonardii,3,txn:435594,Late Maastrichtian,,72.2,66.0,ref:76344,-65.693001,-25.746,Quebrada de Acheral tracksite,112,,,,,,,IF
occ:1555209,col:219399,? Hadrosauridae indet.,Hadrosauridae,9,txn:38755,Late Maastrichtian,,72.2,66.0,ref:76344,-65.481003,-25.275,Río Juramento tracksite,112,,,,,,,
occ:1555210,col:193499,Titanosauria indet.,Titanosauria,25,txn:55585,Campanian,,83.6,72.2,ref:76342,-65.441109,-18.980556,Chaunaca tracksite (lower),113,,,,,,,
occ:1555211,col:193499,Theropoda indet.,Theropoda,25,txn:38513,Campanian,,83.6,72.2,ref:76342,-65.441109,-18.980556,Chaunaca tracksite (lower),113,,,,,,,
